ID; Name; Description; Icon
220; Fleischwolf des Alteractals; Erreicht 25 Todesstöße während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Spell_Shadow_Summonimp
221; Fleischwolf des Alteractals; Erreicht 40 Todesstöße während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Spell_Shadow_Summonimp
222; Alterac-Grabjäger; Nehmt einen Friedhof während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende.; -Spell_Holy_Divinespirit
223; Es fehlt an Särgen; Nehmt 2 Friedhöfe während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende.; -Spell_Holy_Divinespirit
224; Es fehlt an Särgen; Nehmt 3 Friedhöfe während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende.; -Spell_Holy_Divinespirit
225; Es fehlt an Särgen; Nehmt 4 Friedhöfe während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende.; -Spell_Holy_Divinespirit
226; Verteidiger der Verstorbenen; Verteidigt einen Friedhof während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Spell_Holy_Prayerofspirit
227; Verteidiger der Toten; Verteidigt 2 Friedhöfe während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Spell_Holy_Prayerofspirit
228; Verteidiger der Toten; Verteidigt 3 Friedhöfe während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Spell_Holy_Prayerofspirit
229; Verteidiger der Toten; Verteidigt 4 Friedhöfe während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Spell_Holy_Prayerofspirit
230; Nun gehört er mir!; Nehmt einen Turm während einer einzigen Schlacht im Alteractal ein und und bleibt bis zu deren Ende.; -Ability_Thunderbolt
231; Nun gehört ALLES mir!; Nehmt 2 Türme während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende.; -Ability_Thunderbolt
232; Nun gehört ALLES mir!; Nehmt 3 Türme während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende.; -Ability_Thunderbolt
233; Nun gehört ALLES mir!; Nehmt 4 Türme während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende.; -Ability_Thunderbolt
234; Turmwächter; Verteidigt einen Turm während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Inv_Shield_05
235; Turmverteidiger; Verteidigt 2 Türme während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Inv_Shield_05
236; Turmverteidiger; Verteidigt 3 Türme während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Inv_Shield_05
237; Turmverteidiger; Verteidigt 4 Türme während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Inv_Shield_05
242; Der Alteracblitz; Gewinnt im Alteractal innerhalb von 6 Minuten.; achievement_bg_winav_underxminutes
243; Militärische Auszeichnung; Erreicht 10 ehrenhafte Siege während einer einzigen Schlacht in der Kriegshymnenschlucht und bleibt bis zu deren Ende.; -Ability_Rogue_Eviscerate
244; Militärische Auszeichnung; Erreicht 25 ehrenhafte Siege während einer einzigen Schlacht in der Kriegshymnenschlucht und bleibt bis zu deren Ende.; -Ability_Rogue_Eviscerate
245; Militärische Auszeichnung; Erreicht 50 ehrenhafte Siege während einer einzigen Schlacht in der Kriegshymnenschlucht und bleibt bis zu deren Ende.; -Ability_Rogue_Eviscerate
246; Militärische Auszeichnung; Erreicht 75 ehrenhafte Siege während einer einzigen Schlacht in der Kriegshymnenschlucht und bleibt bis zu deren Ende.; -Ability_Rogue_Eviscerate
247; Flaggenträger; Ergreift und erobert die gegnerische Flagge während einer einzigen Schlacht in der Kriegshymnenschlucht und bleibt bis zu deren Ende.; -Inv_Banner_03
248; Großartiger Flaggenträger; Ergreift und erobert 2 gegnerische Flaggen während einer einzigen Schlacht in der Kriegshymnenschlucht und bleibt bis zu deren Ende.; -Inv_Banner_03
249; Großartiger Flaggenträger; Ergreift und erobert 3 gegnerische Flaggen während einer einzigen Schlacht in der Kriegshymnenschlucht und bleibt bis zu deren Ende.; -Inv_Banner_03
250; Fasst das nicht an!; Bringt als Verteidiger eine Flagge während einer einzigen Schlacht in der Kriegshymnenschlucht zurück und bleibt bis zu deren Ende.; -Spell_Nature_Reincarnation
251; Hartnäckiger Verteidiger; Bringt als Verteidiger 2 Flaggen während einer einzigen Schlacht in der Kriegshymnenschlucht zurück und bleibt bis zu deren Ende.; -Spell_Nature_Reincarnation
252; Hartnäckiger Verteidiger; Bringt als Verteidiger 3 Flaggen während einer einzigen Schlacht in der Kriegshymnenschlucht zurück und bleibt bis zu deren Ende.; -Spell_Nature_Reincarnation
253; Motivation der Kriegshymne; Gewinnt in der Kriegshymnenschlucht in weniger als 7 Minuten.; achievement_bg_winwsg_underxminutes
254; Konquistador; Erobert eine Basis während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende.; -Ability_Eyeoftheowl
255; Flaggenjagd; Erobert 2 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende.; -Ability_Eyeoftheowl
256; Flaggenjagd; Erobert 3 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende.; -Ability_Eyeoftheowl
257; Flaggenjagd; Erobert 4 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende.; -Ability_Eyeoftheowl
258; Beschützer; Verteidigt eine Basis während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende.; -Inv_Shield_06
259; Wächter; Verteidigt 2 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende.; -Inv_Shield_06
260; Wächter; Verteidigt 3 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende.; -Inv_Shield_06
261; Wächter; Verteidigt 4 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende.; -Inv_Shield_06
262; Katzen sind am wichtigsten; Streichelt die angegebenen Haustiere im Arathibecken (/streicheln).; -ability_hunter_catlikereflexes
263; Auf die Schnelle; Gewinnt im Arathibecken in 6 Minuten.; achievement_bg_winab_underxminutes
264; Turmverteidigung; Verteidigt 50 Türme im Alteractal.; achievement_bg_defendxtowers_av
265; Alterac-Grabjäger; Nehmt 50 Friedhöfe im Alteractal ein.; achievement_bg_xkills_avgraveyard
266; Erobert die Flagge; Ergreift und erobert persönlich 50 Flaggen in der Kriegshymnenschlucht.; achievement_bg_captureflag_wsg
267; Hartnäckiger Verteidiger; Bringt als Verteidiger in der Kriegshymnenschlucht 50 Flaggen zurück.; achievement_bg_interruptx_flagcapture_attempts
268; Flaggenjagd; Erobert 50 Flaggen im Arathibecken.; achievement_bg_takexflags_ab
269; Rettungseinsatz; Eilt im Arathibecken 50-mal zur Verteidigung einer Basis, indem Ihr die Flagge zurückerobert.; ability_warrior_victoryrush
270; Frostwolfheuler; Erhaltet einen Frostwolfheuler.; -inv_jewelry_frostwolftrinket_01
271; Streitwidder der Sturmlanzen; Erhaltet einen Streitwidder der Sturmlanzen.; -inv_jewelry_stormpiketrinket_01
279; Meister des Alteractals; Schließt die unten aufgelisteten Questerfolge im Alteractal ab.; -inv_jewelry_necklace_21
280; Meister der Kriegshymnenschlucht; Schließt die unten aufgelisteten Questerfolge in der Kriegshymnenschlucht ab.; -inv_misc_rune_07
281; Meister des Arathibeckens; Schließt die unten aufgelisteten Arathibeckenerfolge ab.; -inv_jewelry_amulet_07
283; Kampfmeister; Schließt die unten aufgelisteten Schlachtfeld-Erfolge ab.; achievement_pvp_a_15
284; Ruf zu den Waffen!; Schließt 10 Schlachtfelder ab.; -Inv_Musket_02
285; Ruf zu den Waffen!; Schließt 25 Schlachtfelder ab.; -Inv_Musket_02
286; Ruf zu den Waffen!; Schließt 50 Schlachtfelder ab.; -Inv_Musket_02
287; Todbringer; Erringt 100 Todesstöße auf einem beliebigen Schlachtfeld.; -Spell_Shadow_Unholyfrenzy
288; Todbringer; Erringt 250 Todesstöße auf einem beliebigen Schlachtfeld.; -Spell_Shadow_Unholyfrenzy
289; Todbringer; Erringt 500 Todesstöße auf einem beliebigen Schlachtfeld.; -Spell_Shadow_Unholyfrenzy
290; Todbringer; Erringt 750 Todesstöße auf einem beliebigen Schlachtfeld.; -Spell_Shadow_Unholyfrenzy
291; Todbringer; Erringt 1000 Todesstöße auf einem beliebigen Schlachtfeld.; -Spell_Shadow_Unholyfrenzy
292; Todesengel; Erringt 100 ehrenhafte Siege auf einem beliebigen Schlachtfeld.; -Ability_Warrior_Innerrage
293; Todesengel; Erringt 250 ehrenhafte Siege auf einem beliebigen Schlachtfeld.; -Ability_Warrior_Innerrage
294; Todesengel; Erringt 500 ehrenhafte Siege auf einem beliebigen Schlachtfeld.; -Ability_Warrior_Innerrage
295; Todesengel; Erringt 750 ehrenhafte Siege auf einem beliebigen Schlachtfeld.; -Ability_Warrior_Innerrage
296; Todesengel; Erringt 1000 ehrenhafte Siege auf einem beliebigen Schlachtfeld.; -Ability_Warrior_Innerrage
297; Gurubashi Arenameister; Plündert den Schmuck des Arenameisters in der Arena der Gurubashi.; -Inv_Misc_ArmorKit_14
298; Gurubashi Arenagroßmeister; Schließt die Quest von Störtebrecher ab, um den Schmuck des Arenagroßmeisters zu erhalten.; -Inv_Misc_ArmorKit_04
299; Duell-ikat; Gewinnt ein Duell gegen einen anderen Spieler.; -ability_dualwieldspecialization
300; Duellist; Gewinnt in 10 Duellen.; -ability_dualwieldspecialization
301; Geübter Duellist; Gewinnt in 25 Duellen.; -ability_dualwieldspecialization
302; Meister-Duellist; Gewinnt in 100 Duellen.; -ability_dualwieldspecialization
303; Flammenschlund; Bezwingt Taragaman den Hungerleider.; -spell_shadow_summonfelguard
304; Die Höhlen des Wehklagens; Bezwingt Mutanus den Verschlinger.; achievement_boss_mutanus_the_devourer
305; Die Todesminen; Bezwingt Edwin van Cleef.; achievement_boss_edwinvancleef
306; Burg Schattenfang; Bezwingt Erzmagier Arugal.; achievement_boss_archmagearugal
307; Tiefschwarze Grotte; Bezwingt Aku'mai.; achievement_boss_bazil_akumai
308; Verlies von Sturmwind; Bezwingt Bazil Thredd.; achievement_boss_bazil_thredd
309; Gnomeregan; Bezwingt Robogenieur Dampfhammer.; gnomeregan
310; Der Kral von Razorfen; Bezwingt Charlga Klingenflanke.; achievement_boss_charlgarazorflank
