Key;Text
RARE_NPC_14266;Shanda the Spinner
RARE_NPC_14267;Emogg the Crusher
RARE_NPC_2751;War Golem
RARE_NPC_14224;7:XT
RARE_NPC_2744;Shadowforge Commander
RARE_NPC_2752;Rumbler
RARE_NPC_2753;Barnabus
RARE_NPC_2850;Broken Tooth
RARE_NPC_2931;Zaricotl
RARE_NPC_2754;Anathemus
RARE_NPC_2749;Siege Golem
RARE_NPC_9046;Scarshield Quartermaster
RARE_NPC_10119;Volchan
RARE_NPC_10077;Deathmaw
RARE_NPC_9604;Gorgon'och
RARE_NPC_8979;Gruklash
RARE_NPC_9602;Hahk'Zor
RARE_NPC_8976;Hematos
RARE_NPC_8981;Malfunctioning Reaver
RARE_NPC_10078;Terrorspark
RARE_NPC_8978;Thauris Balgarr
RARE_NPC_8279;Faulty War Golem
RARE_NPC_8277;Rekk'tilac
RARE_NPC_8281;Scald
RARE_NPC_8280;Shleipnarr
RARE_NPC_8283;Slave Master Blackheart
RARE_NPC_8278;Smoldar
RARE_NPC_8282;Highlord Mastrogonde
RARE_NPC_584;Kazon
RARE_NPC_14273;Boulderheart
RARE_NPC_616;Chatter
RARE_NPC_14271;Ribchaser
RARE_NPC_947;Rohh the Silent
RARE_NPC_14269;Seeker Aqualon
RARE_NPC_14272;Snarlflare
RARE_NPC_14270;Squiddic
RARE_NPC_763;Lost One Chieftain
RARE_NPC_1106;Lost One Cook
RARE_NPC_14447;Gilmorian
RARE_NPC_14448;Molt Thorn
RARE_NPC_14445;Lord Captain Wyrmak
RARE_NPC_1063;Jade
RARE_NPC_507;Fenros
RARE_NPC_771;Commander Felstrom
RARE_NPC_503;Lord Malathrom
RARE_NPC_521;Lupos
RARE_NPC_574;Naraxis
RARE_NPC_534;Nefaru
RARE_NPC_573;Foe Reaper 4000
RARE_NPC_520;Brack
RARE_NPC_572;Leprithus
RARE_NPC_1424;Master Digger
RARE_NPC_506;Sergeant Brashclaw
RARE_NPC_519;Slark
RARE_NPC_462;Vultros
RARE_NPC_596;Brainwashed Noble
RARE_NPC_599;Marisa du'Paige
RARE_NPC_14446;Fingat
RARE_NPC_8301;Clack the Reaver
RARE_NPC_8304;Dreadscorn
RARE_NPC_8303;Grunter
RARE_NPC_8296;Mojo the Twisted
RARE_NPC_8300;Ravage
RARE_NPC_8299;Spiteflayer
RARE_NPC_8298;Akubar the Seer
RARE_NPC_8297;Magronos the Unyielding
RARE_NPC_8302;Deatheye
RARE_NPC_1061;Gan'zulah
RARE_NPC_14491;Kurmokk
RARE_NPC_2541;Lord Sakrasis
RARE_NPC_14490;Rippa
RARE_NPC_1552;Scale Belly
RARE_NPC_14492;Verifonix
RARE_NPC_723;Mosh'Ogg Butcher
RARE_NPC_14487;Gluggle
RARE_NPC_11383;High Priestess Hai'watna
RARE_NPC_14488;Roloch
RARE_NPC_3581;Sewer Beast
RARE_NPC_1720;Bruegal Ironknuckle
RARE_NPC_5399;Veyzhak the Cannibal
RARE_NPC_5400;Zekkis
RARE_NPC_8924;The Behemoth
RARE_NPC_5912;Deviate Faerie Dragon
RARE_NPC_3652;Trigore the Lasher
RARE_NPC_3672;Boahn
RARE_NPC_10080;Sandarr Dunereaver
RARE_NPC_10081;Dustwraith
RARE_NPC_10082;Zerillis
RARE_NPC_12237;Meshlok the Harvester
RARE_NPC_11447;Mushgog
RARE_NPC_11497;The Razza
RARE_NPC_11498;Skarr the Unbreakable
RARE_NPC_11467;Tsu'zee
RARE_NPC_3068;Mazzranache
RARE_NPC_3058;Arra'chea
RARE_NPC_5787;Enforcer Emilgund
RARE_NPC_5807;The Rake
RARE_NPC_5786;Snagglespear
RARE_NPC_5785;Sister Hatelash
RARE_NPC_3056;Ghost Howl
RARE_NPC_5822;Felweaver Scornn
RARE_NPC_5823;Death Flayer
RARE_NPC_5824;Captain Flat Tusk
RARE_NPC_5826;Geolord Mottle
RARE_NPC_5808;Warlord Kolkanis
RARE_NPC_5809;Watch Commander Zalaphil
RARE_NPC_5828;Humar the Pridelord
RARE_NPC_5842;Takk the Leaper
RARE_NPC_5834;Azzere the Skyblade
RARE_NPC_5865;Dishu
RARE_NPC_5836;Engineer Whirleygig
RARE_NPC_5835;Foreman Grills
RARE_NPC_3295;Sludge Beast
RARE_NPC_5829;Snort the Heckler
RARE_NPC_5837;Stonearm
RARE_NPC_5838;Brokespear
RARE_NPC_3470;Rathorian
RARE_NPC_5863;Geopriest Gukk'rok
RARE_NPC_3253;Silithid Harvester
RARE_NPC_5832;Thunderstomp
RARE_NPC_5849;Digger Flameforge
RARE_NPC_5847;Heggin Stonewhisker
RARE_NPC_5848;Malgin Barleybrew
RARE_NPC_3398;Gesharahan
RARE_NPC_5797;Aean Swiftriver
RARE_NPC_7895;Ambassador Bloodrage
RARE_NPC_5827;Brontus
RARE_NPC_5851;Captain Gerogg Hammertoe
RARE_NPC_3270;Elder Mystic Razorsnout
RARE_NPC_5859;Hagg Taurenbane
RARE_NPC_5799;Hannah Bladeleaf
RARE_NPC_5800;Marcus Bel
RARE_NPC_5841;Rocklance
RARE_NPC_5830;Sister Rathtalon
RARE_NPC_5831;Swiftmane
RARE_NPC_5864;Swinegart Spearhide
RARE_NPC_5798;Thora Feathermoon
RARE_NPC_6584;King Mosh
RARE_NPC_6582;Clutchmother Zavas
RARE_NPC_6581;Ravasaur Matriarch
RARE_NPC_6585;Uhk'loc
RARE_NPC_6583;Gruff
RARE_NPC_3535;Blackmoss the Fetid
RARE_NPC_14430;Duskstalker
RARE_NPC_14431;Fury Shelda
RARE_NPC_14432;Threggil
RARE_NPC_14428;Uruson
RARE_NPC_14429;Grimmaw
RARE_NPC_2186;Carnivous the Breaker
RARE_NPC_2192;Firecaller Radison
RARE_NPC_7015;Flagglemurk the Cruel
RARE_NPC_2184;Lady Moongazer
RARE_NPC_2191;Licillin
RARE_NPC_2175;Shadowclaw
RARE_NPC_2172;Strider Clutchmother
RARE_NPC_7016;Lady Vespira
RARE_NPC_7017;Lord Sinslayer
RARE_NPC_14342;Ragepaw
RARE_NPC_14340;Alshirr Banebreath
RARE_NPC_14339;Death Howl
RARE_NPC_14344;Mongress
RARE_NPC_14343;Olm the Wise
RARE_NPC_14345;The Ongar
RARE_NPC_7104;Dessecus
RARE_NPC_7137;Immolatus
RARE_NPC_6651;Gatekeeper Rageroar
RARE_NPC_6647;Magister Hawkhelm
RARE_NPC_6648;Antilos
RARE_NPC_6650;General Fangferror
RARE_NPC_6649;Lady Sesspira
RARE_NPC_8660;The Evalcharr
RARE_NPC_6118;Varo'then's Ghost
RARE_NPC_6652;Master Feardred
RARE_NPC_6646;Monnos the Elder
RARE_NPC_13896;Scalebeard
RARE_NPC_3735;Apothecary Falthis
RARE_NPC_10559;Lady Vespia
RARE_NPC_10644;Mist Howler
RARE_NPC_10641;Branch Snapper
RARE_NPC_10643;Mugglefin
RARE_NPC_10647;Prince Raze
RARE_NPC_10639;Rorgish Jowl
RARE_NPC_3792;Terrowulf Packlord
RARE_NPC_12037;Ursol'lok
RARE_NPC_10642;Eck'alom
RARE_NPC_10640;Oakpaw
RARE_NPC_3736;Darkslayer Mordenthal
RARE_NPC_3773;Akkrilus
RARE_NPC_4066;Nal'taszar
RARE_NPC_4015;Pridewing Patriarch
RARE_NPC_5916;Sentinel Amarassan
RARE_NPC_4030;Vengeful Ancient
RARE_NPC_5915;Brother Ravenoak
RARE_NPC_5931;Foreman Rigger
RARE_NPC_5930;Sister Riven
RARE_NPC_5928;Sorrow Wing
RARE_NPC_5932;Taskmaster Whipfang
RARE_NPC_14230;Burgle Eye
RARE_NPC_4380;Darkmist Widow
RARE_NPC_14234;Hayoc
RARE_NPC_4339;Brimgore
RARE_NPC_14232;Dart
RARE_NPC_14231;Drogoth the Roamer
RARE_NPC_14236;Lord Angler
RARE_NPC_14237;Oozeworm
RARE_NPC_14233;Ripscale
RARE_NPC_14235;The Rot
RARE_NPC_14225;Prince Kellen
RARE_NPC_14228;Giggler
RARE_NPC_14227;Hissperak
RARE_NPC_14226;Kaskk
RARE_NPC_14229;Accursed Slitherblade
RARE_NPC_11688;Cursed Centaur
RARE_NPC_5347;Antilus the Soarer
RARE_NPC_5349;Arash-ethis
RARE_NPC_12801;Arcane Chimaerok
RARE_NPC_5346;Bloodroar the Stalker
RARE_NPC_12800;Chimaerok
RARE_NPC_12802;Chimaerok Devourer
RARE_NPC_5345;Diamond Head
RARE_NPC_5354;Gnarl Leafbrother
RARE_NPC_5343;Lady Szallah
RARE_NPC_5352;Old Grizzlegut
RARE_NPC_5350;Qirot
RARE_NPC_5356;Snarler
RARE_NPC_5933;Achellios the Banished
RARE_NPC_4132;Silithid Ravager
RARE_NPC_5935;Ironeye the Invincible
RARE_NPC_14427;Gibblesnik
RARE_NPC_14426;Harb Foulmountain
RARE_NPC_5934;Heartrazor
RARE_NPC_5937;Vile Sting
RARE_NPC_8207;Greater Firebird
RARE_NPC_8205;Haarka the Ravenous
RARE_NPC_8203;Kregg Keelhaul
RARE_NPC_8208;Murderous Blisterpaw
RARE_NPC_8202;Cyclok the Mad
RARE_NPC_8201;Omgorn the Lost
RARE_NPC_8204;Soriid the Devourer
RARE_NPC_8200;Jin'Zallah the Sandbringer
RARE_NPC_8199;Warleader Krazzilak
RARE_NPC_14472;Gretheer
RARE_NPC_14477;Grubthor
RARE_NPC_14478;Huricanian
RARE_NPC_14476;Krellack
RARE_NPC_14473;Lapress
RARE_NPC_14471;Setis
RARE_NPC_14479;Twilight Lord Everun
RARE_NPC_15308;Twilight Prophet
RARE_NPC_14474;Zora
RARE_NPC_14475;Rex Ashil
RARE_NPC_10200;Rak'shiri
RARE_NPC_10197;Mezzir the Howler
RARE_NPC_10201;Lady Hederine
RARE_NPC_10199;Grizzle Snowpaw
RARE_NPC_10202;Azurous
RARE_NPC_10196;General Colbatann
RARE_NPC_10198;Kashoch the Reaver
RARE_NPC_4425;Blind Hunter
RARE_NPC_4842;Earthcaller Halmgar
RARE_NPC_7354;Ragglesnout
TITLE_BUILTIN_EXPLORER_LABEL;Explorer
TITLE_BUILTIN_EXPLORER_FORMAT_MALE;%s the Explorer
TITLE_BUILTIN_EXPLORER_FORMAT_FEMALE;%s the Explorer
TITLE_BUILTIN_THE_ELUSIVE_LABEL;The Elusive
TITLE_BUILTIN_THE_ELUSIVE_FORMAT_MALE;%s the Elusive
TITLE_BUILTIN_THE_ELUSIVE_FORMAT_FEMALE;%s the Elusive
TITLE_BUILTIN_BATTLEMASTER_LABEL;Battlemaster
TITLE_BUILTIN_BATTLEMASTER_FORMAT_MALE;Battlemaster %s
TITLE_BUILTIN_BATTLEMASTER_FORMAT_FEMALE;Battlemaster %s
TITLE_BUILTIN_DEFENDER_OF_AZEROTH_LABEL;Defender of Azeroth
TITLE_BUILTIN_DEFENDER_OF_AZEROTH_FORMAT_MALE;Defender of Azeroth %s
TITLE_BUILTIN_DEFENDER_OF_AZEROTH_FORMAT_FEMALE;Defender of Azeroth %s
TITLE_BUILTIN_HERO_OF_AZEROTH_LABEL;Hero of Azeroth
TITLE_BUILTIN_HERO_OF_AZEROTH_FORMAT_MALE;Hero of Azeroth %s
TITLE_BUILTIN_HERO_OF_AZEROTH_FORMAT_FEMALE;Hero of Azeroth %s
TITLE_BUILTIN_GREAT_HERO_OF_AZEROTH_LABEL;Great Hero of Azeroth
TITLE_BUILTIN_GREAT_HERO_OF_AZEROTH_FORMAT_MALE;Great Hero of Azeroth %s
TITLE_BUILTIN_GREAT_HERO_OF_AZEROTH_FORMAT_FEMALE;Great Hero of Azeroth %s
TITLE_BUILTIN_EMERALD_KEEPER_LABEL;Emerald Keeper
TITLE_BUILTIN_EMERALD_KEEPER_FORMAT_MALE;Emerald Keeper %s
TITLE_BUILTIN_EMERALD_KEEPER_FORMAT_FEMALE;Emerald Keeper %s
TITLE_BUILTIN_JENKINS_LABEL;Jenkins
TITLE_BUILTIN_JENKINS_FORMAT_MALE;%s Jenkins
TITLE_BUILTIN_JENKINS_FORMAT_FEMALE;%s Jenkins
TITLE_BUILTIN_AZEROTHS_GREATEST_ANGLER_LABEL;Azeroth's Greatest Angler
TITLE_BUILTIN_AZEROTHS_GREATEST_ANGLER_FORMAT_MALE;%s, Azeroth's Greatest Angler
TITLE_BUILTIN_AZEROTHS_GREATEST_ANGLER_FORMAT_FEMALE;%s, Azeroth's Greatest Angler
TITLE_BUILTIN_CHEF_LABEL;Chef
TITLE_BUILTIN_CHEF_FORMAT_MALE;Chef %s
TITLE_BUILTIN_CHEF_FORMAT_FEMALE;Chef %s
TITLE_BUILTIN_THE_EXALTED_LABEL;The Exalted
TITLE_BUILTIN_THE_EXALTED_FORMAT_MALE;%s the Exalted
TITLE_BUILTIN_THE_EXALTED_FORMAT_FEMALE;%s the Exalted
TITLE_BUILTIN_BLOODSAIL_ADMIRAL_LABEL;Bloodsail Admiral
TITLE_BUILTIN_BLOODSAIL_ADMIRAL_FORMAT_MALE;Bloodsail Admiral %s
TITLE_BUILTIN_BLOODSAIL_ADMIRAL_FORMAT_FEMALE;Bloodsail Admiral %s
TITLE_BUILTIN_THE_HALLOWED_LABEL;The Hallowed
TITLE_BUILTIN_THE_HALLOWED_FORMAT_MALE;%s the Hallowed
TITLE_BUILTIN_THE_HALLOWED_FORMAT_FEMALE;%s the Hallowed
TITLE_BUILTIN_MERRYMAKER_LABEL;Merrymaker
TITLE_BUILTIN_MERRYMAKER_FORMAT_MALE;Merrymaker %s
TITLE_BUILTIN_MERRYMAKER_FORMAT_FEMALE;Merrymaker %s
TITLE_BUILTIN_THE_LOVE_FOOL_LABEL;The Love Fool
TITLE_BUILTIN_THE_LOVE_FOOL_FORMAT_MALE;%s the Love Fool
TITLE_BUILTIN_THE_LOVE_FOOL_FORMAT_FEMALE;%s the Love Fool
TITLE_BUILTIN_ELDER_LABEL;Elder
TITLE_BUILTIN_ELDER_FORMAT_MALE;Elder %s
TITLE_BUILTIN_ELDER_FORMAT_FEMALE;Elder %s
TITLE_BUILTIN_PATRON_LABEL;Patron
TITLE_BUILTIN_PATRON_FORMAT_MALE;Patron %s
TITLE_BUILTIN_PATRON_FORMAT_FEMALE;Matron %s
TITLE_BUILTIN_FLAME_KEEPER_LABEL;Flame Keeper
TITLE_BUILTIN_FLAME_KEEPER_FORMAT_MALE;Flame Keeper %s
TITLE_BUILTIN_FLAME_KEEPER_FORMAT_FEMALE;Flame Keeper %s
TITLE_BUILTIN_THE_LOREMASTER_LABEL;The Loremaster
TITLE_BUILTIN_THE_LOREMASTER_FORMAT_MALE;Loremaster %s
TITLE_BUILTIN_THE_LOREMASTER_FORMAT_FEMALE;Loremaster %s
