Schlüssel;Text
RARE_NPC_1841;Scharlachroter Henker
RARE_NPC_10356;Bayne
RARE_NPC_1911;Deeb
RARE_NPC_1936;Bauer Solliden
RARE_NPC_10358;Fellicents Schemen
RARE_NPC_1531;Verirrte Seele
RARE_NPC_1910;Muad
RARE_NPC_10357;Ressan der Aufstachler
RARE_NPC_10359;Sri'skulk
RARE_NPC_1533;Gepeinigter Geist
RARE_NPC_14221;Gravis Galgenknoten
RARE_NPC_2258;Steinwüter
RARE_NPC_14223;Cranky Benj
RARE_NPC_2453;Lo'Grosh
RARE_NPC_2452;Skhowl
RARE_NPC_12431;Blutmaul
RARE_NPC_12433;Krethis Schattennetz
RARE_NPC_12432;Zwingenkiefer
RARE_NPC_1944;Haudrauf der Moderfelle
RARE_NPC_1948;Knurrmähne
RARE_NPC_2283;Regent von Rabenklaue
RARE_NPC_1920;Zauberschreiber von Dalaran
RARE_NPC_8213;Eisenpanzer
RARE_NPC_8214;Jalinde Sommerdrache
RARE_NPC_8216;Retherokk der Berserker
RARE_NPC_8212;Der Reak
RARE_NPC_8218;Kaltherz der Streicher
RARE_NPC_8219;Zul'arek Faulhass
RARE_NPC_8210;Reißerklaue
RARE_NPC_8217;Mith'rethis der Verzauberer
RARE_NPC_8215;Grimungous
RARE_NPC_14222;Araga
RARE_NPC_14279;Kriechfänger
RARE_NPC_14281;Jimmy der Bluter
RARE_NPC_14277;Lady Zephris
RARE_NPC_8211;Klippenspringer
RARE_NPC_14278;Ro'Bell
RARE_NPC_14276;Narbenflosse
RARE_NPC_14280;Samras
RARE_NPC_2447;Narillasanz
RARE_NPC_14275;Tamra Sturmlanze
RARE_NPC_2779;Prinz Nazjak
RARE_NPC_2609;Geomant Flintdolch
RARE_NPC_2600;Sänger
RARE_NPC_2598;Darbel Montrose
RARE_NPC_2601;Faulbauch
RARE_NPC_2602;Ruul Zweistein
RARE_NPC_2603;Kovork
RARE_NPC_2604;Molok der Zermalmer
RARE_NPC_2606;Nimar der Töter
RARE_NPC_2605;Zalas Bleichborke
RARE_NPC_1037;Kampfmeister des Drachenmals
RARE_NPC_2108;Garneg Brandschädel
RARE_NPC_1112;Egelwitwe
RARE_NPC_2090;Ma'ruk Wyrmschuppe
RARE_NPC_1140;Scharfzahnmatriarchin
RARE_NPC_1050;Bannschuppenkönigswache
RARE_NPC_14425;Knochennager
RARE_NPC_14424;Brülmor
RARE_NPC_14433;Schlicker
RARE_NPC_1398;Boss Galgosh
RARE_NPC_1425;Grizlak
RARE_NPC_2476;Großer Lochkrokilisk
RARE_NPC_14268;Lord Condar
RARE_NPC_1399;Magosh
RARE_NPC_14266;Shanda die Weberin
RARE_NPC_14267;Emogg der Zermalmer
RARE_NPC_2751;Kriegsgolem
RARE_NPC_14224;7:XT
RARE_NPC_2744;Kommandant der Schattenschmiede
RARE_NPC_2752;Rumpler
RARE_NPC_2753;Barnabus
RARE_NPC_2850;Zerbrochener Zahn
RARE_NPC_2931;Zaricotl
RARE_NPC_2754;Anathemus
RARE_NPC_2749;Belagerungsgolem
RARE_NPC_9046;Rüstmeister der Schmetterschilde
RARE_NPC_10119;Volchan
RARE_NPC_10077;Totenreißer
RARE_NPC_9604;Gorgon'och
RARE_NPC_8979;Gruklash
RARE_NPC_9602;Hahk'Zor
RARE_NPC_8976;Hematos
RARE_NPC_8981;Fehlfunktionierender Häscher
RARE_NPC_10078;Terrorstifter
RARE_NPC_8978;Thauris Balgarr
RARE_NPC_8279;Defekter Kriegsgolem
RARE_NPC_8277;Rekk'tilac
RARE_NPC_8281;Scald
RARE_NPC_8280;Shleipnarr
RARE_NPC_8283;Sklavenmeister Schwarzherz
RARE_NPC_8278;Smoldar
RARE_NPC_8282;Hochlord Mastrogonde
RARE_NPC_584;Kazon
RARE_NPC_14273;Felsenherz
RARE_NPC_616;Chatter
RARE_NPC_14271;Rippenbrecher
RARE_NPC_947;Rohh der Schweigsame
RARE_NPC_14269;Sucher Aqualon
RARE_NPC_14272;Fletschzahn
RARE_NPC_14270;Kalmarrik
RARE_NPC_763;Häuptling der Verirrten
RARE_NPC_1106;Koch der Verirrten
RARE_NPC_14447;Kiemorius
RARE_NPC_14448;Moosbart
RARE_NPC_14445;Lordkommandant Wyrmak
RARE_NPC_1063;Jade
RARE_NPC_507;Fenros
RARE_NPC_771;Kommandant Felstrom
RARE_NPC_503;Lord Malathrom
RARE_NPC_521;Lupos
RARE_NPC_574;Naraxis
RARE_NPC_534;Nefaru
RARE_NPC_573;Feindschnitter 4000
RARE_NPC_520;Brack
RARE_NPC_572;Leprithus
RARE_NPC_1424;Meisterbuddler
RARE_NPC_506;Unteroffizier Geiferkralle
RARE_NPC_519;Slark
RARE_NPC_462;Vultros
RARE_NPC_596;Manipulierter Adliger
RARE_NPC_599;Marisa du'Paige
RARE_NPC_14446;Flossgat
RARE_NPC_8301;Clack der Häscher
RARE_NPC_8304;Mutreich
RARE_NPC_8303;Suhlaman
RARE_NPC_8296;Mojo der Verwachsene
RARE_NPC_8300;Verheerer
RARE_NPC_8299;Fledderschnabel
RARE_NPC_8298;Akubar der Seher
RARE_NPC_8297;Magronos der Unerschütterliche
RARE_NPC_8302;Todesauge
RARE_NPC_1061;Gan'zulah
RARE_NPC_14491;Kurmokk
RARE_NPC_2541;Lord Sakrasis
RARE_NPC_14490;Rippa
RARE_NPC_1552;Schuppenbauch
RARE_NPC_14492;Verifonix
RARE_NPC_723;Schlächter der Mosh'Ogg
RARE_NPC_14487;Gluckser
RARE_NPC_11383;Hohepriesterin Hai'watna
RARE_NPC_14488;Roloch
RARE_NPC_3581;Kanalbestie
RARE_NPC_1720;Bruegal Eisenfaust
RARE_NPC_5399;Veyzhack der Kannibale
RARE_NPC_5400;Zekkis
RARE_NPC_8924;Das Ungetüm
RARE_NPC_5912;Deviatfeendrache
RARE_NPC_3652;Trigore der Peitscher
RARE_NPC_3672;Boahn
RARE_NPC_10080;Sandarr der Wüstenräuber
RARE_NPC_10081;Karaburan
RARE_NPC_10082;Zerillis
RARE_NPC_12237;Meshlok der Ernter
RARE_NPC_11447;Mushgog
RARE_NPC_11497;Der Razza
RARE_NPC_11498;Skarr der Unbezwingbare
RARE_NPC_11467;Tsu'zee
RARE_NPC_3068;Mazzranache
RARE_NPC_3058;Arra'chea
RARE_NPC_5787;Vollstrecker Emilgund
RARE_NPC_5807;Der Kratzer
RARE_NPC_5786;Stummelspeer
RARE_NPC_5785;Schwester Hasspeitsche
RARE_NPC_3056;Geistheuler
RARE_NPC_5822;Höllenwirker Hoohn
RARE_NPC_5823;Todesschinder
RARE_NPC_5824;Hauptmann Stumpfhauer
RARE_NPC_5826;Geolord Sprenkel
RARE_NPC_5808;Kriegsherr Kolkanis
RARE_NPC_5809;Wachkommandant Zalaphil
RARE_NPC_5828;Humar der Rudellord
RARE_NPC_5842;Takk der Springer
RARE_NPC_5834;Azzere die Himmelsklinge
RARE_NPC_5865;Dishu
RARE_NPC_5836;Ingenieur Wirbelgig
RARE_NPC_5835;Großknecht Grills
RARE_NPC_3295;Schlammbestie
RARE_NPC_5829;Snort der Spucker
RARE_NPC_5837;Steinarm
RARE_NPC_5838;Bruchspeer
RARE_NPC_3470;Rathorian
RARE_NPC_5863;Geopriester Gukk'rok
RARE_NPC_3253;Silithidernter
RARE_NPC_5832;Donnerstampfer
RARE_NPC_5849;Buddler Flammenschmied
RARE_NPC_5847;Heggin Steinbart
RARE_NPC_5848;Malgin Gerstenbräu
RARE_NPC_3398;Gesharahan
RARE_NPC_5797;Aean Flinkbach
RARE_NPC_7895;Botschafter Blutzorn
RARE_NPC_5827;Brontus
RARE_NPC_5851;Hauptmann Gerogg Hammerzeh
RARE_NPC_3270;Alte Mystikerin Grimmschnauze
RARE_NPC_5859;Hagg Taurenfluch
RARE_NPC_5799;Hannah Messerblatt
RARE_NPC_5800;Marcus Bel
RARE_NPC_5841;Felslanze
RARE_NPC_5830;Schwester Wildkralle
RARE_NPC_5831;Flinkmähne
RARE_NPC_5864;Speerträger Schweingart
RARE_NPC_5798;Thora Mondfeder
RARE_NPC_6584;König Mosh
RARE_NPC_6582;Gelegemutter Zavas
RARE_NPC_6581;Ravasaurusmatriarchin
RARE_NPC_6585;Uhk'loc
RARE_NPC_6583;Gruff
RARE_NPC_3535;Schwarzmoos der Stinker
RARE_NPC_14430;Dämmerpirscher
RARE_NPC_14431;Furie Shelda
RARE_NPC_14432;Threggil
RARE_NPC_14428;Uruson
RARE_NPC_14429;Grimmtatze
RARE_NPC_2186;Carnivous der Zerstörer
RARE_NPC_2192;Feuerrufer Radison
RARE_NPC_7015;Platsch der Grausame
RARE_NPC_2184;Lady Mondblick
RARE_NPC_2191;Licillin
RARE_NPC_2175;Schattenklaue
RARE_NPC_2172;Schreitergelegemutter
RARE_NPC_7016;Lady Vespira
RARE_NPC_7017;Lord Sündenbrecher
RARE_NPC_14342;Wutpranke
RARE_NPC_14340;Alshirr Teufelsodem
RARE_NPC_14339;Todesheuler
RARE_NPC_14344;Mongress
RARE_NPC_14343;Olm der Weise
RARE_NPC_14345;Der Ongar
RARE_NPC_7104;Moosmannus
RARE_NPC_7137;Korruptus
RARE_NPC_6651;Torhüter Donnerschrei
RARE_NPC_6647;Magister Falkhelm
RARE_NPC_6648;Antilos
RARE_NPC_6650;General Fangferror
RARE_NPC_6649;Lady Sesspira
RARE_NPC_8660;Evalcharr
RARE_NPC_6118;Varo'thens Geist
RARE_NPC_6652;Meister Gräuelbart
RARE_NPC_6646;Monnos der Älteste
RARE_NPC_13896;Schuppenbart
RARE_NPC_3735;Apotheker Falthis
RARE_NPC_10559;Lady Vespia
RARE_NPC_10644;Nebelheuler
RARE_NPC_10641;Astschnapper
RARE_NPC_10643;Muggelflosse
RARE_NPC_10647;Prinz Schleifer
RARE_NPC_10639;Grummelkehle
RARE_NPC_3792;Terrowulfrudelführer
RARE_NPC_12037;Ursol'lok
RARE_NPC_10642;Eck'alom
RARE_NPC_10640;Knurrtatze
RARE_NPC_3736;Dunkeltöter Mordenthal
RARE_NPC_3773;Akkrilus
RARE_NPC_4066;Nal'taszar
RARE_NPC_4015;Prachtschwingenpatriarch
RARE_NPC_5916;Schildwache Amarassan
RARE_NPC_4030;Rachsüchtiges Urtum
RARE_NPC_5915;Bruder Rabeneiche
RARE_NPC_5931;Großknecht Rigger
RARE_NPC_5930;Schwester Sichelschwinge
RARE_NPC_5928;Trauerschwinge
RARE_NPC_5932;Zuchtmeister Peitschzahn
RARE_NPC_14230;Schwarzauge
RARE_NPC_4380;Graunebelwitwe
RARE_NPC_14234;Hayoc
RARE_NPC_4339;Schwefelblut
RARE_NPC_14232;Pfeil
RARE_NPC_14231;Drogoth der Wanderer
RARE_NPC_14236;Lord Angler
RARE_NPC_14237;Brühschlammerwurm
RARE_NPC_14233;Reißerschuppe
RARE_NPC_14235;Der Faulende
RARE_NPC_14225;Prinz Kellen
RARE_NPC_14228;Kicherer
RARE_NPC_14227;Hissperak
RARE_NPC_14226;Kaskk
RARE_NPC_14229;Verfluchter der Zackenkämme
RARE_NPC_11688;Verfluchter Zentaur
RARE_NPC_5347;Antilus der Aufsteiger
RARE_NPC_5349;Arash-ethis
RARE_NPC_12801;Arkaner Chimaerok
RARE_NPC_5346;Blutschrei der Pirscher
RARE_NPC_12800;Chimaerok
RARE_NPC_12802;Chimaerokverschlinger
RARE_NPC_5345;Diamantenkopf
RARE_NPC_5354;Laubbruder Knarz
RARE_NPC_5343;Lady Szallah
RARE_NPC_5352;Silbergrimm der Weise
RARE_NPC_5350;Qirot
RARE_NPC_5356;Knurrer
RARE_NPC_5933;Achellios der Verbannte
RARE_NPC_4132;Silithidverheerer
RARE_NPC_5935;Eisenauge der Unbesiegbare
RARE_NPC_14427;Gibblesnik
RARE_NPC_14426;Harb Faulberg
RARE_NPC_5934;Klingenherz
RARE_NPC_5937;Übelstich
RARE_NPC_8207;Großer Feuervogel
RARE_NPC_8205;Haarka der Gefräßige
RARE_NPC_8203;Kregg Kielhol
RARE_NPC_8208;Mordlustige Eiterpfote
RARE_NPC_8202;Cyclok der Irre
RARE_NPC_8201;Omgorn der Verirrte
RARE_NPC_8204;Soriid der Verschlinger
RARE_NPC_8200;Jin'Zallah der Sandbringer
RARE_NPC_8199;Kriegsanführer Krazzilak
RARE_NPC_14472;Gretheer
RARE_NPC_14477;Grubthor
RARE_NPC_14478;Hurrikanus
RARE_NPC_14476;Krellack
RARE_NPC_14473;Lapress
RARE_NPC_14471;Setis
RARE_NPC_14479;Lord des Schattenhammers Everun
RARE_NPC_15308;Prophet des Schattenhammers
RARE_NPC_14474;Zora
RARE_NPC_14475;Rex Ashil
RARE_NPC_10200;Rak'shiri
RARE_NPC_10197;Mezzir der Heuler
RARE_NPC_10201;Lady Hederine
RARE_NPC_10199;Grizzel Schneepfote
RARE_NPC_10202;Azurous
RARE_NPC_10196;General Colbatann
RARE_NPC_10198;Kashoch der Häscher
RARE_NPC_4425;Blinder Jäger
RARE_NPC_4842;Erdenrufer Halmgar
RARE_NPC_7354;Struppmähne
TITLE_BUILTIN_EXPLORER_LABEL;Entdecker
TITLE_BUILTIN_EXPLORER_FORMAT_MALE;%s der Entdecker
TITLE_BUILTIN_EXPLORER_FORMAT_FEMALE;%s die Entdeckerin
TITLE_BUILTIN_THE_ELUSIVE_LABEL;Der Unfassbare
TITLE_BUILTIN_THE_ELUSIVE_FORMAT_MALE;%s der Unfassbare
TITLE_BUILTIN_THE_ELUSIVE_FORMAT_FEMALE;%s die Unfassbare
TITLE_BUILTIN_BATTLEMASTER_LABEL;Kampfmeister
TITLE_BUILTIN_BATTLEMASTER_FORMAT_MALE;Kampfmeister %s
TITLE_BUILTIN_BATTLEMASTER_FORMAT_FEMALE;Kampfmeisterin %s
TITLE_BUILTIN_DEFENDER_OF_AZEROTH_LABEL;Verteidiger von Azeroth
TITLE_BUILTIN_DEFENDER_OF_AZEROTH_FORMAT_MALE;Verteidiger von Azeroth %s
TITLE_BUILTIN_DEFENDER_OF_AZEROTH_FORMAT_FEMALE;Verteidigerin von Azeroth %s
TITLE_BUILTIN_HERO_OF_AZEROTH_LABEL;Held von Azeroth
TITLE_BUILTIN_HERO_OF_AZEROTH_FORMAT_MALE;Held von Azeroth %s
TITLE_BUILTIN_HERO_OF_AZEROTH_FORMAT_FEMALE;Heldin von Azeroth %s
TITLE_BUILTIN_GREAT_HERO_OF_AZEROTH_LABEL;Großartiger Held von Azeroth
TITLE_BUILTIN_GREAT_HERO_OF_AZEROTH_FORMAT_MALE;Großartiger Held von Azeroth %s
TITLE_BUILTIN_GREAT_HERO_OF_AZEROTH_FORMAT_FEMALE;Großartige Heldin von Azeroth %s
TITLE_BUILTIN_EMERALD_KEEPER_LABEL;Smaragdgrüner Wächter
TITLE_BUILTIN_EMERALD_KEEPER_FORMAT_MALE;Smaragdgrüner Wächter %s
TITLE_BUILTIN_EMERALD_KEEPER_FORMAT_FEMALE;Smaragdgrüne Wächterin %s
TITLE_BUILTIN_JENKINS_LABEL;Jenkins
TITLE_BUILTIN_JENKINS_FORMAT_MALE;%s Jenkins
TITLE_BUILTIN_JENKINS_FORMAT_FEMALE;%s Jenkins
TITLE_BUILTIN_AZEROTHS_GREATEST_ANGLER_LABEL;Größter Angler von Azeroth
TITLE_BUILTIN_AZEROTHS_GREATEST_ANGLER_FORMAT_MALE;%s, der größte Angler von Azeroth
TITLE_BUILTIN_AZEROTHS_GREATEST_ANGLER_FORMAT_FEMALE;%s, die größte Anglerin von Azeroth
TITLE_BUILTIN_CHEF_LABEL;Chefkoch
TITLE_BUILTIN_CHEF_FORMAT_MALE;Chefkoch %s
TITLE_BUILTIN_CHEF_FORMAT_FEMALE;Chefköchin %s
TITLE_BUILTIN_THE_EXALTED_LABEL;Der Ehrfurchtgebietende
TITLE_BUILTIN_THE_EXALTED_FORMAT_MALE;%s der Ehrfurchtgebietende
TITLE_BUILTIN_THE_EXALTED_FORMAT_FEMALE;%s die Ehrfurchtgebietende
TITLE_BUILTIN_BLOODSAIL_ADMIRAL_LABEL;Blutsegeladmiral
TITLE_BUILTIN_BLOODSAIL_ADMIRAL_FORMAT_MALE;Blutsegeladmiral %s
TITLE_BUILTIN_BLOODSAIL_ADMIRAL_FORMAT_FEMALE;Blutsegeladmiral %s
TITLE_BUILTIN_THE_HALLOWED_LABEL;Nachtschrecken
TITLE_BUILTIN_THE_HALLOWED_FORMAT_MALE;Nachtschrecken %s
TITLE_BUILTIN_THE_HALLOWED_FORMAT_FEMALE;Nachtschrecken %s
TITLE_BUILTIN_MERRYMAKER_LABEL;Winterhauchengel
TITLE_BUILTIN_MERRYMAKER_FORMAT_MALE;Winterhauchengel %s
TITLE_BUILTIN_MERRYMAKER_FORMAT_FEMALE;Winterhauchengel %s
TITLE_BUILTIN_THE_LOVE_FOOL_LABEL;Liebesgott
TITLE_BUILTIN_THE_LOVE_FOOL_FORMAT_MALE;%s, Liebesgott
TITLE_BUILTIN_THE_LOVE_FOOL_FORMAT_FEMALE;%s, Liebesgöttin
TITLE_BUILTIN_ELDER_LABEL;Ältester
TITLE_BUILTIN_ELDER_FORMAT_MALE;Ältester %s
TITLE_BUILTIN_ELDER_FORMAT_FEMALE;Älteste %s
TITLE_BUILTIN_PATRON_LABEL;Patron
TITLE_BUILTIN_PATRON_FORMAT_MALE;Patron %s
TITLE_BUILTIN_PATRON_FORMAT_FEMALE;Matrone %s
TITLE_BUILTIN_FLAME_KEEPER_LABEL;Flammenbewahrer
TITLE_BUILTIN_FLAME_KEEPER_FORMAT_MALE;Flammenbewahrer %s
TITLE_BUILTIN_FLAME_KEEPER_FORMAT_FEMALE;Flammenbewahrerin %s
TITLE_BUILTIN_THE_LOREMASTER_LABEL;Meister der Lehren
TITLE_BUILTIN_THE_LOREMASTER_FORMAT_MALE;Meister der Lehren %s
TITLE_BUILTIN_THE_LOREMASTER_FORMAT_FEMALE;Meisterin der Lehren %s
