ID; Name; Description; Icon
27 ; 50 Quests abgeschlossen ; Schließt 50 Quests ab. ; -achievement_quests_completed_01
28 ; 100 Quests abgeschlossen ; Schließt 100 Quests ab. ; -achievement_quests_completed_02
29 ; 250 Quests abgeschlossen ; Schließt 250 Quests ab. ; -achievement_quests_completed_03
30 ; 500 Quests abgeschlossen ; Schließt 500 Quests ab. ; -achievement_quests_completed_04
31 ; 750 Quests abgeschlossen ; Schließt 750 Quests ab. ; -achievement_quests_completed_05
32 ; 1.000 Quests abgeschlossen ; Schließt 1.000 Quests ab. ; -achievement_quests_completed_06
33 ; 1.500 Quests abgeschlossen ; Schließt 1.500 Quests ab. ; -achievement_quests_completed_07
34 ; 3.000 Quests abgeschlossen ; Schließt 3.000 Quests ab. ; -achievement_quests_completed_08
35 ; Glitzernde Belohnung ; Erhaltet 5 Gold durch Questbelohnungen. ; -Inv_Misc_Coin_05
36 ; Sammler geprägter Münzen ; Erhaltet 10 Gold durch Questbelohnungen. ; -Inv_Misc_Coin_06
37 ; Täglich Brot ; Erhaltet 25 Gold durch Questbelohnungen. ; -Inv_Misc_Coin_03
38 ; Wohlverdientes Gold ; Erhaltet 50 Gold durch Questbelohnungen. ; -Inv_Misc_Coin_04
39 ; Verdient durch Schweiß und Blut ; Erhaltet 100 Gold durch Questbelohnungen. ; -Inv_Misc_Coin_01
40 ; Golddrucker ; Erhaltet 250 Gold durch Questbelohnungen. ; -Inv_Misc_Coin_02
41 ; Angemessene Entlohnung ; Erhaltet 500 Gold durch Questbelohnungen. ; -Inv_Misc_Coin_02
42 ; Der Schlüssel zur Scholomance ; Erhaltet den Skelettschlüssel. ; -inv_misc_key_11
43 ; Meister der Lehren in Kalimdor ; Schließt die unten aufgelisteten Questerfolge in Kalimdor ab. ; -achievement_zone_kalimdor_01
44 ; Meister der Lehren - Durotar ; Schließt die Quest "Sicherung der Linien" in Durotar ab. ; -achievement_zone_durotar
45 ; Meister der Lehren - Das Brachland ; Schließt die folgenden Quests in Das Brachland ab. ; -achievement_zone_barrens_01
46 ; Meister der Lehren - Steinkrallengebirge ; Schließt die Quest "Gerenzo Wrenchwhistle" in Steinkrallengebirge ab. ; -achievement_zone_stonetalon_01
47 ; Meister der Lehren - Desolace ; Schließt die Quest "Buch der Uralten" in Desolace ab. ; -achievement_zone_desolace
48 ; Meister der Lehren - Tausend Nadeln ; Schließt die Quest "Sicherheit zuerst" in Tausend Nadeln ab. ; -achievement_zone_thousandneedles_01
49 ; Meister der Lehren - Düstermarschen ; Schließt die Quest "Jarl braucht eine Klinge" in Düstermarschen ab. ; -achievement_zone_dustwallowmarsh
50 ; Meister der Lehren - Teufelswald ; Schließt die folgenden Quests in Teufelswald ab. ; -achievement_zone_felwood
51 ; Meister der Lehren - Tanaris ; Schließt die folgenden Quests in Tanaris ab. ; -achievement_zone_tanaris_01
52 ; Meister der Lehren - Un'Goro Krater ; Schließt die folgenden Quests in Un'Goro Krater ab. ; -achievement_zone_ungorocrater_01
53 ; Meister der Lehren - Azshara ; Schließt die Quest "Azsharit" in Azshara ab. ; -achievement_zone_azshara_01
54 ; Meister der Lehren - Winterspring ; Schließt die folgenden Quests in Winterspring ab. ; -achievement_zone_winterspring
55 ; Meister der Lehren - Silithus ; Schließt die folgenden Quests in Silithus ab. ; -achievement_zone_silithus_01
56 ; Meister der Lehren der östlichen Königreiche ; Schließt die unten aufgelisteten Questerfolge in den östlichen Königreichen ab. ; -achievement_zone_easternkingdoms_01
57 ; Meister der Lehren - Arathihochland ; Schließt die Quest "Den Hauptstein zerbrechen" in Arathihochland ab. ; -achievement_zone_arathihighlands_01
58 ; Meister der Lehren - Schlingendorntal ; Schließt die folgenden Quests in Schlingendorntal ab. ; -achievement_zone_stranglethorn_01
59 ; Meister der Lehren - Ödland ; Schließt die folgenden Quests in Ödland ab. ; -achievement_zone_badlands_01
60 ; Meister der Lehren - Sengende Schlucht ; Schließt die Quest "Plunder..." in Sengende Schlucht ab. ; -achievement_zone_searinggorge_01
61 ; Meister der Lehren - Verwüstete Lande ; Schließt die Quest "Ihr seid Rakh'likh, Dämon" in Verwüstete Lande ab. ; -achievement_zone_blastedlands_01
62 ; Meister der Lehren - Westliche Pestländer ; Schließt die folgenden Quests in Westliche Pestländer ab. ; -achievement_zone_westernplaguelands_01
63 ; Meister der Lehren - Östliche Pestländer ; Schließt die folgenden Quests in Östliche Pestländer ab. ; -achievement_zone_easternplaguelands
64 ; Meister der Lehren - Blackrock ; Schließt die Quest "Rückkehr zu Bodley" in Blackrock ab. ; -achievement_zone_blackrock_01
65 ; Meister der Lehren von Azeroth ; Schließt die unten aufgelisteten Questerfolge ab. ; -Inv_Misc_Book_09
66 ; Die Grünen Hügel des Schlingendorntals ; Schließt alle Hemet Nesingwary-Quests im Schlingendorntal ab, bis hin zu 'Die Grünen Hügel des Schlingendorntals' und 'Großwildjäger'. ; -ability_mount_whitetiger
67 ; Durchs Höllenfeuer und zurück ; Schließt die folgenden Geschichtsstränge auf der Höllenfeuerhalbinsel ab. ; -achievement_zone_hellfirepeninsula_01
68 ; Durchs Höllenfeuer und zurück ; Schließt die folgenden Geschichtsstränge auf der Höllenfeuerhalbinsel ab. ; -achievement_zone_hellfirepeninsula_01
69 ; Mysterien der Marschen ; Schließt die folgenden Geschichtsstränge in den Zangarmarschen ab. ; achievement_zone_zangarmarsh
70 ; Mysterien der Marschen ; Schließt die folgenden Geschichtsstränge in den Zangarmarschen ab. ; achievement_zone_zangarmarsh
71 ; Terror in Terokkar ; Schließt die folgenden Geschichtsstränge in den Wäldern von Terrokkar ab. ; achievement_zone_terrokar
72 ; Terror in Terokkar ; Schließt die folgenden Geschichtsstränge in den Wäldern von Terrokkar ab. ; achievement_zone_terrokar
73 ; Nagrand Slam ; Schließt die folgenden Geschichtsstränge in Nagrand ab. ; achievement_zone_nagrand_01
74 ; Nagrand Slam ; Schließt die folgenden Geschichtsstränge in Nagrand ab. ; achievement_zone_nagrand_01
75 ; Auf schmalem Grat ; Schließt die folgenden Geschichtsstränge im Schergrat ab. ; achievement_zone_bladesedgemtns_01
76 ; Auf schmalem Grat ; Schließt die folgenden Geschichtsstränge im Schergrat ab. ; achievement_zone_bladesedgemtns_01
77 ; In den Nether ; Schließt die folgenden Geschichtsstränge im Nethersturm ab. ; achievement_zone_netherstorm_01
78 ; Schatten des Verräters ; Schließt die folgenden Geschichtsstränge im Schattenmondtal ab. ; achievement_zone_shadowmoon
79 ; Meister der Lehren der Scherbenwelt ; Schließt die unten aufgelisteten Scherbenwelt-Questerfolge ab. ; -achievement_zone_outland_01
80 ; Meister der Lehren der Scherbenwelt ; Schließt die unten aufgelisteten Scherbenwelt-Questerfolge ab. ; -achievement_zone_outland_01
81 ; Der Meister der Lehren ; Schließt die unten aufgelisteten Questerfolge ab. ; -Inv_Misc_Book_07
82 ; Der Meister der Lehren ; Schließt die unten aufgelisteten Questerfolge ab. ; -Inv_Misc_Book_07
83 ; Heißer als die Hölle ; Erhaltet den Schlüssel zu den Zerschmetterten Hallen. ; -inv_misc_key_02
84 ; Wie man in Arkatraz einbricht ; Erhaltet den Schlüssel zur Arkatraz. ; -inv_datacrystal03
85 ; Die Berührung des Meisters ; Erhaltet den Schlüssel des Meisters. ; -inv_misc_key_07
86 ; Die Vergangenheit aufwühlen ; Erhaltet die Geschwärzte Urne. ; -inv_misc_urn_01
87 ; Der Knüppel von Kar'desh ; Erhaltet Zugang zur Höhle des Schlangenschreins. ; -inv_trinket_naxxramas01
88 ; Der Schlüssel der Stürme ; Erhaltet den Schlüssel der Stürme. ; -inv_datacrystal11
89 ; Die Phiolen der Ewigkeit ; Soridormi in den Höhlen der Zeit möchte, dass Ihr die Überreste von Vashjs Phiole von Lady Vashj im Echsenkessel und die Überreste von Kaels Phiole von Kael'thas Sonnenwanderer in der Festung der Stürme besorgt. ; -inv_potion_101
90 ; Ein Ablenkungsmanöver für Akama ; Erhaltet das Medaillon von Karabor. ; -inv_jewelry_amulet_04
91 ; Weltenbummler ; Erforscht die östlichen Königreiche, Kalimdor und die Scherbenwelt. ; -inv_misc_map02
92 ; Erforscht Kalimdor ; Erforscht die Regionen Kalimdors. ; -achievement_zone_kalimdor_01
93 ; Erforscht Ashenvale ; Erforscht Ashenvale und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_ashenvale_01
94 ; Erforscht Azshara ; Erforscht Azshara und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_azshara_01
95 ; Erforscht Dunkelküste ; Erforscht Dunkelküste und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_darkshore_01
96 ; Erforscht Desolace ; Erforscht Desolace und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_desolace
97 ; Erforscht Durotar ; Erforscht Durotar und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_durotar
98 ; Erforscht Marschen von Dustwallow ; Erforscht Marschen von Dustwallow und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_dustwallowmarsh
99 ; Erforscht Teufelswald ; Erforscht Teufelswald und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_felwood
100 ; Erforscht Feralas ; Erforscht Feralas und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_feralas
101 ; Erforscht Mulgore ; Erforscht Mulgore und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_mulgore_01
102 ; Erforscht Silithus ; Erforscht Silithus und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_silithus_01
103 ; Erforscht Steinkrallengebirge ; Erforscht Steinkrallengebirge und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_stonetalon_01
104 ; Erforscht Tanaris ; Erforscht Tanaris und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_tanaris_01
105 ; Erforscht Teldrassil ; Erforscht Teldrassil und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_darnassus
106 ; Erforscht Brachland ; Erforscht Brachland und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_barrens_01
107 ; Erforscht Tausend Nadeln ; Erforscht Tausend Nadeln und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_thousandneedles_01
108 ; Erforscht Un'Goro-Krater ; Erforscht Un'Goro-Krater und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_ungorocrater_01
109 ; Erforscht Winterspring ; Erforscht Winterspring und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_winterspring
110 ; Erforscht Azurmythosinsel ; Erforscht Azurmythosinsel und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_azuremystisle_01
111 ; Erforscht Blutmythosinsel ; Erforscht Blutmythosinsel und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_bloodmystisle_01
112 ; Erforscht die östlichen Königreiche ; Erforscht die Regionen der östlichen Königreiche. ; -achievement_zone_easternkingdoms_01
113 ; Erforscht Alteracgebirge ; Erforscht Alteracgebirge und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_alteracmountains_01
114 ; Erforscht Arathihochland ; Erforscht Arathihochland und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_arathihighlands_01
115 ; Erforscht Ödland ; Erforscht Ödland und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_badlands_01
116 ; Erforscht Verwüstete Lande ; Erforscht Verwüstete Lande und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_blastedlands_01
117 ; Erforscht Brennende Steppe ; Erforscht Brennende Steppe und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_burningsteppes_01
118 ; Erforscht Gebirgspass der Totenwinde ; Erforscht Gebirgspass der Totenwinde und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_deadwindpass
119 ; Erforscht Dun Morogh ; Erforscht Dun Morogh und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_dunmorogh
120 ; Erforscht Dämmerwald ; Erforscht Dämmerwald und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_duskwood
121 ; Erforscht Östliche Pestländer ; Erforscht Östliche Pestländer und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_easternplaguelands
122 ; Erforscht Wald von Elwynn ; Erforscht Wald von Elwynn und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_elwynnforest
123 ; Erforscht Vorgebirge von Hillsbrad ; Erforscht Vorgebirge von Hillsbrad und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_hillsbradfoothills
124 ; Erforscht Loch Modan ; Erforscht Loch Modan und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_lochmodan
125 ; Erforscht Rotkammgebirge ; Erforscht Rotkammgebirge und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_redridgemountains
126 ; Erforscht Sengende Schlucht ; Erforscht Sengende Schlucht und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_searinggorge_01
127 ; Erforscht Silberwald ; Erforscht Silberwald und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_silverpine_01
128 ; Erforscht Schlingendorntal ; Erforscht Schlingendorntal und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_stranglethorn_01
129 ; Erforscht Sümpfe des Elends ; Erforscht Sümpfe des Elends und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_swampsorrows_01
130 ; Erforscht Hinterland ; Erforscht Hinterland und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_hinterlands_01
131 ; Erforscht Tirisfal ; Erforscht Tirisfal und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_tirisfalglades_01
132 ; Erforscht Westliche Pestländer ; Erforscht Westliche Pestländer und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_westernplaguelands_01
133 ; Erforscht Westfall ; Erforscht Westfall und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_westfall_01
134 ; Erforscht Sumpfland ; Erforscht Sumpfland und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_wetlands_01
135 ; Erforscht Immersangwald ; Erforscht Immersangwald und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_eversongwoods
136 ; Erforscht Geisterlande ; Erforscht Geisterlande und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_ghostlands
137 ; Erforscht Insel von Quel'Danas ; Erforscht Insel von Quel'Danas und enthüllt die verdeckten Gebiete auf der Weltkarte. ; -achievement_zone_isleofqueldanas
138 ; Ob groß, ob klein, Tiere sind alle fein ; Zeigt den Tieren in Azeroth, wie sehr Ihr sie liebt (/liebe). ; -inv_jewelcrafting_crimsonhare
139 ; Erforscht die Scherbenwelt ; Erforscht die Regionen der Scherbenwelt. ; -achievement_zone_outland_01
140 ; Erforscht Höllenfeuerhalbinsel ; Erforscht Höllenfeuerhalbinsel und enthüllt die verdeckten Gebiete auf der Weltkarte. ; achievement_zone_hellfirepeninsula_01
141 ; Erforscht Zangarmarschen ; Erforscht Zangarmarschen und enthüllt die verdeckten Gebiete auf der Weltkarte. ; achievement_zone_zangarmarsh
142 ; Erforscht Wälder von Terokkar ; Erforscht Wälder von Terokkar und enthüllt die verdeckten Gebiete auf der Weltkarte. ; achievement_zone_terrokar
143 ; Erforscht Nagrand ; Erforscht Nagrand und enthüllt die verdeckten Gebiete auf der Weltkarte. ; achievement_zone_nagrand_01
144 ; Erforscht Schergrat ; Erforscht Schergrat und enthüllt die verdeckten Gebiete auf der Weltkarte. ; achievement_zone_bladesedgemtns_01
145 ; Erforscht Nethersturm ; Erforscht Nethersturm und enthüllt die verdeckten Gebiete auf der Weltkarte. ; achievement_zone_netherstorm_01
146 ; Erforscht Schattenmondtal ; Erforscht Schattenmondtal und enthüllt die verdeckten Gebiete auf der Weltkarte. ; achievement_zone_shadowmoon
147 ; Ziemlich selten ; Tötet eine der unten aufgelisteten, extrem seltenen und schwer zu findenden Kreaturen der Scherbenwelt. ; -Spell_Shadow_DeathScream
148 ; Verflucht selten ; Tötet jede der unten aufgelisteten, extrem seltenen und schwer zu findenden Kreaturen der Scherbenwelt. ; -Spell_Shadow_DeathScream
149 ; Gefreiter ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_01
150 ; Fußknecht ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_02
151 ; Landsknecht ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_03
152 ; Feldwebel ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_04
153 ; Fähnrich ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_05
154 ; Leutnant ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_06
155 ; Hauptmann ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_07
156 ; Kürassier ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_08
157 ; Ritter der Allianz ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_09
158 ; Feldkommandant ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_10
159 ; Rittmeister ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_11
160 ; Marschall ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_12
161 ; Feldmarschall ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_13
162 ; Großmarschall ; Den gleichnamigen Titel erhalten. ; -achievement_pvp_o_14
163 ; Ein ehrenhafter Sieg ; Erringt einen ehrenhaften Sieg. ; -achievement_pvp_p_01
164 ; 10 ehrenhafte Siege ; Erringt 10 ehrenhafte Siege. ; -achievement_pvp_p_02
165 ; 100 ehrenhafte Siege ; Erringt 100 ehrenhafte Siege. ; -achievement_pvp_p_03
166 ; 250 ehrenhafte Siege ; Erringt 250 ehrenhafte Siege. ; -achievement_pvp_p_04
167 ; 500 ehrenhafte Siege ; Erringt 500 ehrenhafte Siege. ; -achievement_pvp_p_05
168 ; 1.000 ehrenhafte Siege ; Erringt 1.000 ehrenhafte Siege. ; -achievement_pvp_p_06
169 ; 2.500 ehrenhafte Siege ; Erringt 2.500 ehrenhafte Siege. ; -achievement_pvp_p_07
170 ; 5.000 ehrenhafte Siege ; Erringt 5.000 ehrenhafte Siege. ; -achievement_pvp_p_08
171 ; 10.000 ehrenhafte Siege ; Erringt 10.000 ehrenhafte Siege. ; -achievement_pvp_p_09
172 ; 25.000 ehrenhafte Siege ; Erringt 25.000 ehrenhafte Siege. ; -achievement_pvp_p_10
173 ; 50.000 ehrenhafte Siege ; Erringt 50.000 ehrenhafte Siege. ; -achievement_pvp_p_11
174 ; 100.000 ehrenhafte Siege ; Erringt 100.000 ehrenhafte Siege. ; -achievement_pvp_p_12
175 ; 250.000 ehrenhafte Siege ; Erringt 250.000 ehrenhafte Siege. ; -achievement_pvp_p_13
176 ; 500.000 ehrenhafte Siege ; Erringt 500.000 ehrenhafte Siege. ; -achievement_pvp_p_14
177 ; Der Entweihte ; Erreicht einen ehrfürchtigen Ruf bei den Entweihten. ; -spell_shadow_psychichorrors
178 ; Held des Frostwolfklans ; Erreicht einen ehrfürchtigen Ruf beim Frostwolfklan. ; -Inv_Jewelry_FrostwolfTrinket_05
179 ; Warsongvorhut ; Erreicht einen ehrfürchtigen Ruf bei der Warsongvorhut. ; -ability_warrior_warcry
180 ; Der Eroberer ; Erhöht Euren Ruf in der Warsongschlucht, dem Arathibecken und dem Alteractal auf ehrfürchtig. ; -inv_misc_tabardpvp_04
181 ; Ritter von Arathor ; Erreicht einen ehrfürchtigen Ruf beim Bund von Arathor. ; -ability_warrior_rallyingcry
182 ; Held der Sturmlanzengarde ; Erreicht einen ehrfürchtigen Ruf bei der Sturmlanzengarde. ; -Inv_Jewelry_Stormpiketrinket_05
183 ; Schildwache der Silberschwingen ; Erreicht einen ehrfürchtigen Ruf bei der Schildwache der Silberschwingen. ; -Ability_Racial_Shadowmeld
184 ; Der Vollstrecker ; Erhöht Euren Ruf in der Warsongschlucht, dem Arathibecken und dem Alteractal auf ehrfürchtig. ; -inv_misc_tabardpvp_03
185 ; Sturm auf Sturmwind ; Tötet Hochlord Bolvar Fordragon in Stormwind. ; -achievement_leader_king_varian_wrynn
186 ; Tod dem König! ; Tötet König Magni Bronzebart. ; -Achievement_leader_king_magni_bronzebeard
187 ; Von wegen unsterblich ; Tötet die Hohepriesterin Tyrande Wisperwind. ; -achievement_leader_tyrande_whisperwind
188 ; Das Licht ausmachen ; Tötet den Propheten Velen. ; -Achievement_leader_prophet_velen
189 ; Für die Horde! ; Tötet die Anführer der Allianz. ; -inv_bannerpvp_01
190 ; Tod dem Kriegshäuptling! ; Tötet Thrall. ; achievement_leader_thrall
191 ; Nieder mit der dunklen Fürstin ; Tötet Fürstin Sylvanas Windläufer. ; -Achievement_leader_sylvanas
192 ; Blutender Bluthuf ; Tötet Cairne Bluthuf. ; achievement_leader_cairnebloodhoof
193 ; In Quel'Thalas getötet ; Tötet Lor'themar Theron. ; Achievement_Leader_Lorthemar_Theron
194 ; Für die Allianz! ; Tötet die Anführer der Horde. ; -inv_bannerpvp_02
195 ; Kenne deinen Feind ; Erringt einen ehrenhaften Todesstoß bei vier verschiedenen Völkern. ; -Ability_Gouge
196 ; Kenne deinen Feind ; Erringt einen ehrenhaften Todesstoß bei vier verschiedenen Völkern. ; -Ability_Gouge
197 ; Klasse & Stil ; Erreicht einen ehrenhaften Todesstoß gegen einen Vertreter jeder Klasse. ; -Ability_Cheapshot
198 ; Sieg im Alteractal ; Gewinnt im Alteractal. ; -achievement_bg_winav
199 ; Veteran des Alteractals ; Erringt 5 Siege im Alteractal. ; -achievement_bg_winav
200 ; Veteran des Alteractals ; Erringt 10 Siege im Alteractal. ; -achievement_bg_winav
201 ; Veteran des Alteractals ; Erringt 25 Siege im Alteractal. ; -achievement_bg_winav
202 ; Veteran des Alteractals ; Erringt 50 Siege im Alteractal. ; -achievement_bg_winav
203 ; Sieg in der Warsongschlucht ; Gewinnt in der Warsongschlucht. ; -achievement_bg_winwsg
204 ; Veteran der Warsongschlucht ; Erringt 5 Siege in der Warsongschlucht. ; -achievement_bg_winwsg
205 ; Veteran der Warsongschlucht ; Erringt 10 Siege in der Warsongschlucht. ; -achievement_bg_winwsg
206 ; Veteran der Warsongschlucht ; Erringt 25 Siege in der Warsongschlucht. ; -achievement_bg_winwsg
207 ; Veteran der Warsongschlucht ; Erringt 50 Siege in der Warsongschlucht. ; -achievement_bg_winwsg
208 ; Sieg im Arathibecken ; Gewinnt im Arathibecken. ; -achievement_bg_winab
209 ; Veteran des Arathibeckens ; Erringt 5 Siege im Arathibecken. ; -achievement_bg_winab
210 ; Veteran des Arathibeckens ; Erringt 10 Siege im Arathibecken. ; -achievement_bg_winab
211 ; Veteran des Arathibeckens ; Erringt 25 Siege im Arathibecken. ; -achievement_bg_winab
212 ; Veteran des Arathibeckens ; Erringt 50 Siege im Arathibecken. ; -achievement_bg_winab
213 ; Sieg im Auge des Sturms ; Gewinnt im Auge des Sturms. ; -achievement_bg_wineos
214 ; Veteran im Auge des Sturms ; Erringt 5 Siege im Auge des Sturms. ; -achievement_bg_wineos
215 ; Veteran im Auge des Sturms ; Erringt 10 Siege im Auge des Sturms. ; -achievement_bg_wineos
216 ; Veteran im Auge des Sturms ; Erringt 25 Siege im Auge des Sturms. ; -achievement_bg_wineos
217 ; Veteran im Auge des Sturms ; Erringt 50 Siege im Auge des Sturms. ; -achievement_bg_wineos
218 ; Fleischwolf des Alteractals ; Erreicht 5 Todesstöße während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Spell_Shadow_Summonimp
219 ; Fleischwolf des Alteractals ; Erreicht 10 Todesstöße während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Spell_Shadow_Summonimp
220 ; Fleischwolf des Alteractals ; Erreicht 25 Todesstöße während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Spell_Shadow_Summonimp
221 ; Fleischwolf des Alteractals ; Erreicht 40 Todesstöße während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Spell_Shadow_Summonimp
222 ; Alterac-Grabjäger ; Nehmt einen Friedhof während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende. ; -Spell_Holy_Divinespirit
223 ; Es fehlt an Särgen ; Nehmt 2 Friedhöfe während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende. ; -Spell_Holy_Divinespirit
224 ; Es fehlt an Särgen ; Nehmt 3 Friedhöfe während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende. ; -Spell_Holy_Divinespirit
225 ; Es fehlt an Särgen ; Nehmt 4 Friedhöfe während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende. ; -Spell_Holy_Divinespirit
226 ; Verteidiger der Verstorbenen ; Verteidigt einen Friedhof während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Spell_Holy_Prayerofspirit
