ID; Name; Description
91 ; World Explorer ; Explore Eastern Kingdoms, Kalimdor and Outland. ; inv_misc_map02
92 ; Explore Kalimdor ; Explore the regions of Kalimdor. ; -achievement_zone_kalimdor_01
93 ; Explore Ashenvale ; Explore Ashenvale, revealing the covered areas of the world map. ; -achievement_zone_ashenvale_01
94 ; Explore Azshara ; Explore Azshara, revealing the covered areas of the world map. ; achievement_zone_azshara_01
95 ; Explore Darkshore ; Explore Darkshore, revealing the covered areas of the world map. ; -achievement_zone_darkshore_01
96 ; Explore Desolace ; Explore Desolace, revealing the covered areas of the world map. ; -achievement_zone_desolace
97 ; Explore Durotar ; Explore Durotar, revealing the covered areas of the world map. ; -achievement_zone_durotar
98 ; Explore Dustwallow Marsh ; Explore Dustwallow Marsh, revealing the covered areas of the world map. ; -achievement_zone_dustwallowmarsh
99 ; Explore Felwood ; Explore Felwood, revealing the covered areas of the world map. ; -achievement_zone_felwood
100 ; Explore Feralas ; Explore Feralas, revealing the covered areas of the world map. ; -achievement_zone_feralas
101 ; Explore Mulgore ; Explore Mulgore, revealing the covered areas of the world map. ; -achievement_zone_mulgore_01
102 ; Explore Silithus ; Explore Silithus, revealing the covered areas of the world map. ; -achievement_zone_silithus_01
103 ; Explore Stonetalon Mountains ; Explore Stonetalon Mountains, revealing the covered areas of the world map. ; -achievement_zone_stonetalon_01
104 ; Explore Tanaris ; Explore Tanaris, revealing the covered areas of the world map. ; -achievement_zone_tanaris_01
105 ; Explore Teldrassil ; Explore Teldrassil, revealing the covered areas of the world map. ; -achievement_zone_darnassus
106 ; Explore The Barrens ; Explore The Barrens, revealing the covered areas of the world map. ; -achievement_zone_barrens_01
107 ; Explore Thousand Needles ; Explore Thousand Needles, revealing the covered areas of the world map. ; -achievement_zone_thousandneedles_01
108 ; Explore Un'Goro Crater ; Explore Un'Goro Crater, revealing the covered areas of the world map. ; -achievement_zone_ungorocrater_01
109 ; Explore Winterspring ; Explore Winterspring, revealing the covered areas of the world map. ; -achievement_zone_winterspring
110 ; Explore Azuremyst Isle ; Explore Azuremyst Isle, revealing the covered areas of the world map. ; -achievement_zone_azuremystisle_01
111 ; Explore Bloodmyst Isle ; Explore Bloodmyst Isle, revealing the covered areas of the world map. ; -achievement_zone_bloodmystisle_01
112 ; Explore Eastern Kingdoms ; Explore the regions of Eastern Kingdoms. ; -achievement_zone_easternkingdoms_01
113 ; Explore Alterac Mountains ; Explore Alterac Mountains, revealing the covered areas of the world map. ; -achievement_zone_alteracmountains_01
114 ; Explore Arathi Highlands ; Explore Arathi Highlands, revealing the covered areas of the world map. ; -achievement_zone_arathihighlands_01
115 ; Explore Badlands ; Explore Badlands, revealing the covered areas of the world map. ; -achievement_zone_badlands_01
116 ; Explore Blasted Lands ; Explore Blasted Lands, revealing the covered areas of the world map. ; -achievement_zone_blastedlands_01
117 ; Explore Burning Steppes ; Explore Burning Steppes, revealing the covered areas of the world map. ; -achievement_zone_burningsteppes_01
118 ; Explore Deadwind Pass ; Explore Deadwind Pass, revealing the covered areas of the world map. ; -achievement_zone_deadwindpass
119 ; Explore Dun Morogh ; Explore Dun Morogh, revealing the covered areas of the world map. ; -achievement_zone_dunmorogh
120 ; Explore Duskwood ; Explore Duskwood, revealing the covered areas of the world map. ; -achievement_zone_duskwood
121 ; Explore Eastern Plaguelands ; Explore Eastern Plaguelands, revealing the covered areas of the world map. ; -achievement_zone_easternplaguelands
122 ; Explore Elwynn Forest ; Explore Elwynn Forest, revealing the covered areas of the world map. ; -achievement_zone_elwynnforest
123 ; Explore Hillsbrad Foothills ; Explore Hillsbrad Foothills, revealing the covered areas of the world map. ; -achievement_zone_hillsbradfoothills
124 ; Explore Loch Modan ; Explore Loch Modan, revealing the covered areas of the world map. ; -achievement_zone_lochmodan
125 ; Explore Redridge Mountains ; Explore Redridge Mountains, revealing the covered areas of the world map. ; -achievement_zone_redridgemountains
126 ; Explore Searing Gorge ; Explore Searing Gorge, revealing the covered areas of the world map. ; -achievement_zone_searinggorge_01
127 ; Explore Silverpine Forest ; Explore Silverpine Forest, revealing the covered areas of the world map. ; -achievement_zone_silverpine_01
128 ; Explore Stranglethorn Vale ; Explore Stranglethorn Vale, revealing the covered areas of the world map. ; -achievement_zone_stranglethorn_01
129 ; Explore Swamp of Sorrows ; Explore Swamp of Sorrows, revealing the covered areas of the world map. ; -achievement_zone_swampsorrows_01
130 ; Explore The Hinterlands ; Explore The Hinterlands, revealing the covered areas of the world map. ; -achievement_zone_hinterlands_01
131 ; Explore Tirisfal Glades ; Explore Tirisfal Glades, revealing the covered areas of the world map. ; -achievement_zone_tirisfalglades_01
132 ; Explore Western Plaguelands ; Explore Western Plaguelands, revealing the covered areas of the world map. ; -achievement_zone_westernplaguelands_01
133 ; Explore Westfall ; Explore Westfall, revealing the covered areas of the world map. ; -achievement_zone_westfall_01
134 ; Explore Wetlands ; Explore Wetlands, revealing the covered areas of the world map. ; -achievement_zone_wetlands_01
135 ; Explore Eversong Woods ; Explore Eversong Woods, revealing the covered areas of the world map. ; -achievement_zone_eversongwoods
136 ; Explore Ghostlands ; Explore Ghostlands, revealing the covered areas of the world map. ; -achievement_zone_ghostlands
137 ; Explore Isle of Quel'Danas ; Explore Isle of Quel'Danas, revealing the covered areas of the world map. ; achievement_zone_isleofqueldanas
138 ; To All The Squirrels I've Loved Before ; Show the critters of Azeroth how much you /love them. ; inv_jewelcrafting_crimsonhare
139 ; Explore Outland ; Explore the regions of Outland. ; -achievement_zone_outland_01
140 ; Explore Hellfire Peninsula ; Explore Hellfire Peninsula, revealing the covered areas of the world map. ; -achievement_zone_hellfirepeninsula_01
141 ; Explore Zangarmarsh ; Explore Zangarmarsh, revealing the covered areas of the world map. ; achievement_zone_zangarmarsh
142 ; Explore Terokkar Forest ; Explore Terokkar Forest, revealing the covered areas of the world map. ; achievement_zone_terrokar
143 ; Explore Nagrand ; Explore Nagrand, revealing the covered areas of the world map. ; achievement_zone_nagrand_01
144 ; Explore Blade's Edge Mountains ; Explore Blade's Edge Mountains, revealing the covered areas of the world map. ; achievement_zone_bladesedgemtns_01
145 ; Explore Netherstorm ; Explore Netherstorm, revealing the covered areas of the world map. ; achievement_zone_netherstorm_01
146 ; Explore Shadowmoon Valley ; Explore Shadowmoon Valley, revealing the covered areas of the world map. ; achievement_zone_shadowmoon
147 ; Medium Rare ; Kill one of the extremely rare and hard to find Outland creatures listed below. ; -Spell_Shadow_DeathScream
148 ; Bloody Rare ; Kill all of the extremely rare and hard to find Outland creatures listed below. ; -Spell_Shadow_DeathScream
149 ; Private ; Earned the title, "Private". ; -achievement_pvp_o_01
150 ; Corporal ; Earned the title, "Corporal". ; -achievement_pvp_o_02
151 ; Sergeant ; Earned the title, "Sergeant". ; -achievement_pvp_o_03
152 ; Master Sergeant ; Earned the title, "Master Sergeant". ; -achievement_pvp_o_04
153 ; Sergeant Major ; Earned the title, "Sergeant Major". ; -achievement_pvp_o_05
154 ; Knight ; Earned the title, "Knight". ; -achievement_pvp_o_06
155 ; Knight-Lieutenant ; Earned the title, "Knight-Lieutenant". ; -achievement_pvp_o_07
156 ; Knight-Captain ; Earned the title, "Knight-Captain". ; -achievement_pvp_o_08
157 ; Knight-Champion ; Earned the title, "Knight-Champion". ; -achievement_pvp_o_09
158 ; Lieutenant Commander ; Earned the title, "Lieutenant Commander". ; -achievement_pvp_o_10
159 ; Commander ; Earned the title, "Commander". ; -achievement_pvp_o_11
160 ; Marshal ; Earned the title, "Marshal". ; -achievement_pvp_o_12
161 ; Field Marshal ; Earned the title, "Field Marshal". ; -achievement_pvp_o_13
162 ; Grand Marshal ; Earned the title, "Grand Marshal". ; -achievement_pvp_o_14
163 ; An Honorable Kill ; Achieve an honorable kill. ; achievement_pvp_p_01
164 ; 10 Honorable Kills ; Get 10 honorable kills. ; achievement_pvp_p_02
165 ; 100 Honorable Kills ; Get 100 honorable kills. ; achievement_pvp_p_03
166 ; 250 Honorable Kills ; Get 250 honorable kills. ; achievement_pvp_p_04
167 ; 500 Honorable Kills ; Get 500 honorable kills. ; achievement_pvp_p_05
168 ; 1000 Honorable Kills ; Get 1000 honorable kills. ; achievement_pvp_p_06
169 ; 2500 Honorable Kills ; Get 2500 honorable kills. ; achievement_pvp_p_07
170 ; 5000 Honorable Kills ; Get 5000 honorable kills. ; achievement_pvp_p_08
171 ; 10000 Honorable Kills ; Get 10000 honorable kills. ; achievement_pvp_p_09
172 ; 25000 Honorable Kills ; Get 25000 honorable kills. ; achievement_pvp_p_10
173 ; 50000 Honorable Kills ; Get 50000 honorable kills. ; achievement_pvp_p_11
174 ; 100000 Honorable Kills ; Get 100000 honorable kills. ; achievement_pvp_p_12
175 ; 250000 Honorable Kills ; Get 250000 honorable kills. ; achievement_pvp_p_13
176 ; 500000 Honorable Kills ; Get 500000 honorable kills. ; achievement_pvp_p_14
177 ; The Defiler ; Gain exalted reputation with The Forsaken Defilers. ; spell_shadow_psychichorrors
178 ; Hero of the Frostwolf Clan ; Gain exalted reputation with the Frostwolf Clan. ; -Inv_Jewelry_FrostwolfTrinket_05
179 ; Warsong Outrider ; Gain exalted reputation with the Warsong Outriders. ; -ability_warrior_warcry
180 ; The Conqueror ; Raise your reputation values in Warsong Gulch, Arathi Basin and Alterac Valley to Exalted. ; -inv_misc_tabardpvp_04
181 ; Knight of Arathor ; Gain exalted reputation with The League of Arathor. ; -ability_warrior_rallyingcry
182 ; Hero of the Stormpike Guard ; Gain exalted reputation with the Stormpike Guard. ; -Inv_Jewelry_Stormpiketrinket_05
183 ; Silverwing Sentinel ; Gain exalted reputation with the Silverwing Sentinels. ; -Ability_Racial_Shadowmeld
184 ; The Justicar ; Raise your reputation values in Warsong Gulch, Arathi Basin and Alterac Valley to Exalted. ; -inv_misc_tabardpvp_03
185 ; Storming Stormwind ; Kill Highlord Bolvar Fordragon. ; achievement_leader_king_varian_wrynn
186 ; Death to the King! ; Kill King Magni Bronzebeard. ; achievement_leader_king_magni_bronzebeard
187 ; Immortal No More ; Kill High Priestess Tyrande Whisperwind. ; achievement_leader_tyrande_whisperwind
188 ; Putting Out the Light ; Kill Prophet Velen. ; achievement_leader_prophet_velen
189 ; For the Horde! ; Slay the leaders of the Alliance. ; -inv_bannerpvp_01
190 ; Death to the Warchief! ; Kill Thrall. ; achievement_leader_thrall
191 ; Downing the Dark Lady ; Kill Lady Sylvanas Windrunner. ; Achievement_leader_sylvanas
192 ; Bleeding Bloodhoof ; Kill Cairne Bloodhoof. ; achievement_leader_cairnebloodhoof
193 ; Killed in Quel'Thalas ; Kill Lor'themar Theron. ; Achievement_Leader_Lorthemar_Theron
194 ; For The Alliance! ; Slay the leaders of the Horde. ; -inv_bannerpvp_02
195 ; Know Thy Enemy ; Get an honorable, killing blow on five different races. ; -Ability_Gouge
196 ; Know Thy Enemy ; Get an honorable, killing blow on five different races. ; -Ability_Gouge
197 ; That Takes Class ; Get an honorable, killing blow on one of each class. ; -Ability_Cheapshot
198 ; Victory in the Alterac Valley ; Win the battle for Alterac Valley. ; achievement_bg_winav
199 ; Alterac Valley Veteran ; Win 5 battles for Alterac Valley. ; achievement_bg_winav
200 ; Alterac Valley Veteran ; Win 10 battles for Alterac Valley. ; achievement_bg_winav
201 ; Alterac Valley Veteran ; Win 25 battles for Alterac Valley. ; achievement_bg_winav
202 ; Alterac Valley Veteran ; Win 50 battles for Alterac Valley. ; achievement_bg_winav
203 ; Warsong Gulch Victory ; Win Warsong Gulch. ; achievement_bg_winwsg
204 ; Warsong Gulch Veteran ; Complete 5 victories in Warsong Gulch. ; achievement_bg_winwsg
205 ; Warsong Gulch Veteran ; Complete 10 victories in Warsong Gulch. ; achievement_bg_winwsg
206 ; Warsong Gulch Veteran ; Complete 25 victories in Warsong Gulch. ; achievement_bg_winwsg
207 ; Warsong Gulch Veteran ; Complete 50 victories in Warsong Gulch. ; achievement_bg_winwsg
208 ; Arathi Basin Victory ; Win Arathi Basin. ; achievement_bg_winab
209 ; Arathi Basin Veteran ; Complete 5 victories in Arathi Basin. ; achievement_bg_winab
210 ; Arathi Basin Veteran ; Complete 10 victories in Arathi Basin. ; achievement_bg_winab
211 ; Arathi Basin Veteran ; Complete 25 victories in Arathi Basin. ; achievement_bg_winab
212 ; Arathi Basin Veteran ; Complete 50 victories in Arathi Basin. ; achievement_bg_winab
213 ; Eye of the Storm Victory ; Win Eye of the Storm. ; achievement_bg_wineos
214 ; Eye of the Storm Veteran ; Complete 5 victories in Eye of the Storm. ; achievement_bg_wineos
215 ; Eye of the Storm Veteran ; Complete 10 victories in Eye of the Storm. ; achievement_bg_wineos
216 ; Eye of the Storm Veteran ; Complete 25 victories in Eye of the Storm. ; achievement_bg_wineos
217 ; Eye of the Storm Veteran ; Complete 50 victories in Eye of the Storm. ; achievement_bg_wineos
218 ; Valley Meat Grinder ; Make 5 killing blows in one single battle for Alterac Valley and stay until it is over. ; -Spell_Shadow_Summonimp
219 ; Valley Meat Grinder ; Make 10 killing blows in one single battle for Alterac Valley and stay until it is over. ; -Spell_Shadow_Summonimp
220 ; Valley Meat Grinder ; Make 25 killing blows in one single battle for Alterac Valley and stay until it is over. ; -Spell_Shadow_Summonimp
221 ; Valley Meat Grinder ; Make 40 killing blows in one single battle for Alterac Valley and stay until it is over. ; -Spell_Shadow_Summonimp
222 ; Undertaker ; Assault a graveyard in one single battle for Alterac Valley and stay until it is over. ; -Spell_Holy_Divinespirit
223 ; There are never enough Coffins ; Assault 2 graveyards in one single battle for Alterac Valley and stay until it is over. ; -Spell_Holy_Divinespirit
224 ; There are never enough Coffins ; Assault 3 graveyards in one single battle for Alterac Valley and stay until it is over. ; -Spell_Holy_Divinespirit
225 ; There are never enough Coffins ; Assault 4 graveyards in one single battle for Alterac Valley and stay until it is over. ; -Spell_Holy_Divinespirit
226 ; Guardian of the Deceased ; Defend a graveyard in one single battle for Alterac Valley and stay until it is over. ; -Spell_Holy_Prayerofspirit
227 ; Guardian of all Dead ; Defend 2 graveyards in one single battle for Alterac Valley and stay until it is over. ; -Spell_Holy_Prayerofspirit
228 ; Guardian of all Dead ; Defend 3 graveyards in one single battle for Alterac Valley and stay until it is over. ; -Spell_Holy_Prayerofspirit
229 ; Guardian of all Dead ; Defend 4 graveyards in one single battle for Alterac Valley and stay until it is over. ; -Spell_Holy_Prayerofspirit
230 ; Now it's mine! ; Assault a tower in one single battle for Alterac Valley and stay until it is over. ; -Ability_Thunderbolt
231 ; Now it's all mine! ; Assault 2 towers in one single battle for Alterac Valley and stay to it is over. ; -Ability_Thunderbolt
232 ; Now it's all mine! ; Assault 3 towers in one single battle for Alterac Valley and stay to it is over. ; -Ability_Thunderbolt
233 ; Now it's all mine! ; Assault 4 towers in one single battle for Alterac Valley and stay to it is over. ; -Ability_Thunderbolt
234 ; Tower Keeper ; Defend a tower in one single battle for Alterac Valley and stay until it is over. ; -Inv_Shield_05
235 ; Towers Keeper ; Defend 2 towers in one single battle for Alterac Valley and stay until it is over. ; -Inv_Shield_05
236 ; Towers Keeper ; Defend 3 towers in one single battle for Alterac Valley and stay until it is over. ; -Inv_Shield_05
237 ; Towers Keeper ; Defend 4 towers in one single battle for Alterac Valley and stay until it is over. ; -Inv_Shield_05
238 ; Frozen Miner ; Assault a mine in one single battle for Alterac Valley and stay until it is over. ; -Inv_Pick_01
239 ; Frozen Pikeman ; Assault 2 mines in one single battle for Alterac Valley and stay until it is over. ; -Inv_Pick_01
240 ; Frozen Pikeman ; Assault 3 mines in one single battle for Alterac Valley and stay until it is over. ; -Inv_Pick_01
241 ; Frozen Pikeman ; Assault 4 mines in one single battle for Alterac Valley and stay until it is over. ; -Inv_Pick_01
242 ; The Alterac Blitz ; Win Alterac Valley in 6 minutes. ; achievement_bg_winav_underxminutes
243 ; Military Honor ; Get 10 honorable kills in one single battle for Warsong Gulch and stay until it is over. ; -Ability_Rogue_Eviscerate
244 ; Military Honor ; Get 25 honorable kills in one single battle for Warsong Gulch and stay until it is over. ; -Ability_Rogue_Eviscerate
245 ; Military Honor ; Get 50 honorable kills in one single battle for Warsong Gulch and stay until it is over. ; -Ability_Rogue_Eviscerate
246 ; Military Honor ; Get 75 honorable kills in one single battle for Warsong Gulch and stay until it is over. ; -Ability_Rogue_Eviscerate
247 ; Capture the Flag ; Personally carry and capture the flag in one single battle for Warsong Gulch and stay until it is over. ; -Inv_Banner_03
248 ; Great Flag Bearer ; Personally carry and capture 2 flags in one single battle for Warsong Gulch and stay until it is over. ; -Inv_Banner_03
249 ; Great Flag Bearer ; Personally carry and capture 3 flags in one single battle for Warsong Gulch and stay until it is over. ; -Inv_Banner_03
250 ; Don't touch! ; Return a flag as a defender in one single battle for Warsong Gulch and stay until it is over. ; -Spell_Nature_Reincarnation
251 ; Don't touch anything! ; Return 2 flags as a defender in one single battle for Warsong Gulch and stay until it is over. ; -Spell_Nature_Reincarnation
252 ; Don't touch anything! ; Return 3 flags as a defender in one single battle for Warsong Gulch and stay until it is over. ; -Spell_Nature_Reincarnation
253 ; Warsong Expedience ; Win Warsong Gulch in under 7 minutes. ; achievement_bg_winwsg_underxminutes
254 ; Conquistador ; Assault a flag in one single battle for Arathi Basin and stay until it is over. ; -Ability_Eyeoftheowl
255 ; The famous conquistador ; Assault 2 flags in one single battle for Arathi Basin and stay until it is over. ; -Ability_Eyeoftheowl
256 ; The famous conquistador ; Assault 3 flags in one single battle for Arathi Basin and stay until it is over. ; -Ability_Eyeoftheowl
257 ; The famous conquistador ; Assault 4 flags in one single battle for Arathi Basin and stay until it is over. ; -Ability_Eyeoftheowl
258 ; Sentry ; Defend a flags in one single battle for Arathi Basin and stay until it is over. ; -Inv_Shield_06
259 ; Honorary sentry ; Defend 2 flags in one single battle for Arathi Basin and stay until it is over. ; -Inv_Shield_06
260 ; Honorary sentry ; Defend 3 flags in one single battle for Arathi Basin and stay until it is over. ; -Inv_Shield_06
261 ; Honorary sentry ; Defend 4 flags in one single battle for Arathi Basin and stay until it is over. ; -Inv_Shield_06
262 ; Cats first, then everything else ; Pat (/pat) the designated pets in Arathi Basin. ; -ability_hunter_catlikereflexes
263 ; Let's Get This Done ; Win Arathi Basin in 6 minutes. ; achievement_bg_winab_underxminutes
264 ; Tower Defense ; Defend 50 towers in Alterac Valley. ; achievement_bg_defendxtowers_av
265 ; Alterac Grave Robber ; Take 50 graveyards in Alterac Valley. ; achievement_bg_xkills_avgraveyard
266 ; Flags Capturer ; Personally carry and capture 50 flags in Warsong Gulch. ; achievement_bg_captureflag_wsg
267 ; Persistent Defender ; Return 50 flags as a defender in Warsong Gulch. ; achievement_bg_interruptx_flagcapture_attempts
268 ; Me and the Cappin' Makin' it Happen ; Take 50 flags in Arathi Basin. ; achievement_bg_takexflags_ab
269 ; To The Rescue! ; Come to the defense of a base in Arathi Basin 50 times by recapping the flag. ; ability_warrior_victoryrush
270 ; Frostwolf Howler ; Obtain a Frostwolf Howler. ; -inv_jewelry_frostwolftrinket_01
271 ; Stormpike Battle Charger ; Obtain a Stormpike Battle Charger. ; -inv_jewelry_stormpiketrinket_01
272 ; Storm Capper ; Personally carry and capture the flag in Eye of the Storm and stay until the end of the battle. ; achievement_bg_captureflag_eos
273 ; Storm Capper ; Personally carry and capture 2 flags in Eye of the Storm and stay until the end of the battle. ; achievement_bg_captureflag_eos
